camera_id,image_id,car_count,bus_count,truck_count,motorcycle_count,vehicle_count,congestion_level,model_name,conf,imgsz,analyzed_at
TCM053,TCM053_1,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:42
TCM054,TCM054_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:42
TCM054,TCM054_1,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:42
TCM054,TCM054_2,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:43
TCM054,TCM054_3,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:43
TCM055,TCM055_0,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:43
TCM055,TCM055_1,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:43
TCM055,TCM055_2,9,0,0,1,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:44
TCM055,TCM055_3,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:44
TCM056,TCM056_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:44
TCM056,TCM056_1,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:45
TCM056,TCM056_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:45
TCM056,TCM056_3,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:45
TCM057,TCM057_0,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:45
TCM057,TCM057_1,6,0,1,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:46
TCM057,TCM057_2,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:46
TCM057,TCM057_3,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:47
TCM058,TCM058_0,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:47
TCM058,TCM058_1,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:47
TCM058,TCM058_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:48
TCM058,TCM058_3,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:48
TCM059,TCM059_0,12,0,0,0,12,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:48
TCM059,TCM059_1,12,1,1,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:49
TCM059,TCM059_2,15,0,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:49
TCM059,TCM059_3,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:49
TCM060,TCM060_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:49
TCM060,TCM060_1,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:50
TCM060,TCM060_2,2,0,1,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:50
TCM060,TCM060_3,3,0,1,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:51
TCM061,TCM061_0,9,0,1,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:51
TCM061,TCM061_1,6,1,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:51
TCM061,TCM061_2,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:51
TCM061,TCM061_3,4,0,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:52
TCM062,TCM062_0,18,0,0,0,18,red,yolo26n.pt,0.4,1280,2026-06-01T18:24:52
TCM062,TCM062_1,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:52
TCM062,TCM062_2,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:53
TCM063,TCM063_0,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:53
TCM063,TCM063_1,17,0,0,0,17,red,yolo26n.pt,0.4,1280,2026-06-01T18:24:53
TCM063,TCM063_2,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:54
TCM063,TCM063_3,15,0,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:54
TCM064,TCM064_0,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:54
TCM064,TCM064_1,6,1,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:55
TCM064,TCM064_2,8,0,2,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:55
TCM065,TCM065_0,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:55
TCM065,TCM065_1,4,0,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:56
TCM065,TCM065_2,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:56
TCM066,TCM066_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:56
TCM066,TCM066_1,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:56
TCM066,TCM066_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:57
TCM067,TCM067_0,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:57
